external_id,job_title,job_url,location,job_type,salary,description,requirements,posted_date,company,industry,status,attempts,last_error,discovered_at,updated_at
MTY5Nn5FUUd-MjE2ODkyN1Qxfjk5,Process Control Engineer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE2ODkyN1Qxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:29:02.818306
MTY5Nn5FUUd-MjE2ODkyNVQxfjk5,PLC Process Control Engineer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE2ODkyNVQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:29:26.101978
MTY5Nn5BUUd-MjE2NTQ2NlQxfjk5,Oracle DBA,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2NTQ2NlQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:29:49.626577
MTY5Nn5BUUd-MjE2Mjg1N1Qxfjk5,"Full Stack Developer - Java, Angular, Oracle",https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2Mjg1N1Qxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:30:13.120020
MTY5Nn5KQVh-MjE2ODgzNVQxfjk5,Cyber Security Engineer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5KQVh-MjE2ODgzNVQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:30:36.387114
MTY5Nn5BUUd-MjE2ODc4NVQxfjk5,Senior Business Analyst,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2ODc4NVQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:30:59.743465
MTY5Nn5UVlR-MjE2ODE5N1Qxfjk5,Repair and Maintenance Technician,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5UVlR-MjE2ODE5N1Qxfjk5/,,,,,,,,,failed,2,"Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: chrome=145.0.7632.109); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xe6a43e
	0xe88ef3
	0xeef00c
	0xf04df9
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:31:52.090187
MTY5Nn5BUUd-MjE2ODkyMVAxfjk5,Financial Reporting Manager,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2ODkyMVAxfjk5/,,,,,,,,,failed,2,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b2ce
	0xeb8957
	0xee8076
	0xee3dc1
	0xee32c2
	0xe4e26b
	0xe4e80e
	0xe4eced
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0xe4dde9
	0xe4d430
	0x1429aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:31:57.526556
MTY5Nn5BUUd-MjE2Njg3NlAxfjk5,Head of Security & IT,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2Njg3NlAxfjk5/,,,,,,,,,failed,2,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b2ce
	0xeb8957
	0xee8076
	0xee3dc1
	0xee32c2
	0xe4e26b
	0xe4e80e
	0xe4eced
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0xe4dde9
	0xe4d430
	0x1429aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:32:02.583273
MTY5Nn5BUUd-MjE1Njc1N1Axfjk5,Manager of Outage Management,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE1Njc1N1Axfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:19:48.828716
MTY5Nn5BUUd-MjE2Njg3NVAxfjk5,Head of Security & IT,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2Njg3NVAxfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:19:53.869950
MTY5Nn5BUUd-MjE2MTQzMlAxfjk5,Lead Hybrid Identity Lead Engineer (IAM),https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2MTQzMlAxfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:19:58.911796
MTY5Nn5BUUd-MjE2NTM5MVAxfjk5,Senior Backend Engineer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2NTM5MVAxfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:20:03.951245
MTY5Nn5BUUd-MjE1OTM1MFAxfjk5,LIMS Software Engineer - Remote,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE1OTM1MFAxfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:20:08.992074
MTY5Nn5BUUd-MjE2NDMzOFAxfjk5,Structured Capital Markets Principal - ABF,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2NDMzOFAxfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:20:14.030828
MTY5Nn5BUUd-MjE2NDUwM1Axfjk5,Senior Full Stack Engineer - Post Trade Systems,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2NDUwM1Axfjk5/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:20:19.060291
find-work,Find Work,https://www.kforce.com/find-work/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:20:24.099993
solutions,Solutions,https://www.kforce.com/solutions/,,,,,,,,,failed,1,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1175093
	0x11750d4
	0xf6b2ce
	0xfa8957
	0xfd8076
	0xfd3dc1
	0xfd32c2
	0xf3e26b
	0xf3e80e
	0xf3eced
	0x13c7e34
	0x13c30c9
	0x13e0add
	0x118db38
	0x11958ad
	0xf3dde9
	0xf3d430
	0x1519aaf
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:20:29.135232
